day,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8
42,1.5081006390 ,-1.1965688710 ,2.8800262480 ,2.4659716530 ,9.0587740350 ,0.2433644400 ,-3.3137247510 ,-0.4278126060 
43,2.5211274850 ,-1.5621089120 ,2.5160344830 ,2.1144520350 ,9.2077866960 ,1.7708481100 ,1.4555579190 ,-0.1139255600 
44,0.3019222280 ,-0.7487490480 ,2.6336516120 ,2.8886004190 ,6.1370220010 ,0.8347193140 ,-9.1768526530 ,-2.0772532630 
45,0.4287564680 ,-0.0037704540 ,2.5645259990 ,3.0728159440 ,4.0618623650 ,1.1222347610 ,-10.3432457600 ,-2.3590622150 
46,4.5012025880 ,0.6262032760 ,2.1813330480 ,2.2648716620 ,3.6611294190 ,3.4676973430 ,4.4104814220 ,0.1871376420 
47,5.0611167790 ,0.3850269520 ,2.7494671720 ,2.0156782280 ,3.9381808580 ,2.5654519640 ,4.2661168080 ,1.1730277590 
48,4.1141350800 ,-0.2385944720 ,3.7124807460 ,2.0090473280 ,4.5079216730 ,0.2653357650 ,-2.1982727410 ,1.4584551940 
49,5.2082486670 ,-0.8615766870 ,3.3544666600 ,1.8433388610 ,4.7949415230 ,-0.4135535310 ,4.1321801030 ,0.8478609710 
50,5.0515737060 ,-1.0378874240 ,2.8569291450 ,1.9032280470 ,5.1106587180 ,-0.0395920240 ,7.1050194350 ,0.2496069520 
51,2.4558610750 ,-0.3431887790 ,2.0873209410 ,2.4030326590 ,5.4823357330 ,2.3874285530 ,3.5305124150 ,-0.3245836700 
52,0.2260427850 ,-0.0253503280 ,2.3817492460 ,2.7571700160 ,5.4820845060 ,3.2435748860 ,-0.5984845020 ,0.2213268620 
53,-1.8161373820 ,0.0992264850 ,3.2218373000 ,3.0366062160 ,5.2911008470 ,3.2941446840 ,-5.0118352110 ,1.3416482420 
54,-0.0071568870 ,-0.4104219420 ,2.5250294090 ,3.4527614370 ,5.1667421630 ,2.2964182050 ,3.3536909260 ,1.4799144080 
55,0.7628362760 ,-0.9181594540 ,2.1345231040 ,3.5315784680 ,5.1513671450 ,1.2505328720 ,8.5165494520 ,1.6222628420 
56,-0.9849957220 ,-1.3966370160 ,2.5020607680 ,2.8366448340 ,5.3816162030 ,0.1361210960 ,5.8825904210 ,1.8124770760 
57,-2.2027896780 ,-1.3950871630 ,3.0731959270 ,2.6367299790 ,5.2706675090 ,0.2833137280 ,-0.7006702600 ,1.2915896460 
58,-3.1054258800 ,-1.1081156050 ,3.7653890570 ,2.7311506150 ,4.9568444770 ,1.1806495220 ,-9.6321643530 ,0.3478850110 
59,-0.5624327310 ,-0.1404408310 ,2.7100746590 ,3.0020983950 ,6.3465785930 ,2.6592133240 ,-11.3403016100 ,1.6363928600 
60,1.7288699690 ,0.5114452440 ,1.9336985960 ,3.2825624360 ,7.4520134080 ,4.2839586440 ,-8.9669924900 ,2.3302814770 
61,2.8476762540 ,0.2166461590 ,2.1585635820 ,3.5631862460 ,7.5481272510 ,6.2178855320 ,3.3352338960 ,1.1047521010 
62,4.9252411980 ,-0.1430391680 ,1.9399121380 ,2.8319045310 ,6.6100068050 ,6.4513255000 ,3.4573144000 ,0.0102566690 
63,7.6602406500 ,-0.5472179170 ,1.4171351420 ,1.4067447420 ,4.9626971330 ,5.5187172950 ,-4.7727051310 ,-0.9943869160 
64,6.7008071750 ,-0.8576787830 ,2.4288245840 ,1.6903440950 ,4.7735468340 ,4.1926595740 ,-7.0822148890 ,-1.5392574530 
65,7.0763390870 ,-0.9586019530 ,3.0358225500 ,2.0792140820 ,4.8412170250 ,3.7615112550 ,-2.8045711990 ,-0.5747505970 
66,12.8423647800 ,-0.4139033270 ,1.8853400450 ,2.2978946980 ,5.3004056430 ,6.3239555110 ,20.8840092400 ,5.1044892380 
67,11.3752904700 ,-0.6221860380 ,1.4567266500 ,2.2060384680 ,5.8865875380 ,7.4387237680 ,17.9267807800 ,3.9332060740 
68,4.2094101010 ,-1.4237267700 ,1.5968586160 ,1.8695168460 ,6.5728247420 ,7.4128988140 ,-6.0241153010 ,-2.6354588460 
69,4.0548106590 ,-1.8458813920 ,1.6541240320 ,2.3546638400 ,9.4758052480 ,6.6427425800 ,-2.1333036750 ,-2.5403022470 
70,4.4456725940 ,-1.9971376420 ,1.7254773210 ,2.7407611620 ,11.4587055000 ,5.7486738730 ,3.1232962450 ,-1.7648223760 
71,3.2762720000 ,-1.2874041590 ,1.8956989700 ,2.3056944250 ,8.6691943920 ,4.7617252110 ,-0.9501282650 ,-1.8382001960 
72,3.2062106440 ,-1.1755748350 ,1.8601953870 ,2.0211736030 ,5.8118862910 ,5.0035278000 ,-1.2492108190 ,-1.5906496070 
73,4.1291008600 ,-1.6037879770 ,1.6388754650 ,1.8726297350 ,2.8933421970 ,6.3551702290 ,1.8607896860 ,-1.0532281940 
74,4.1562991950 ,-1.0455983910 ,1.7582517360 ,2.2708463370 ,1.9510743470 ,7.7122228970 ,-0.8189881880 ,-1.3208228850 
75,4.2708004690 ,-0.4822548340 ,1.9136353040 ,2.6388339160 ,1.4405713250 ,8.5741109690 ,-3.5099528170 ,-1.6535299130 
76,5.6030863820 ,-0.7636640270 ,1.9449605880 ,2.3764565450 ,1.3026403100 ,7.0049206950 ,-1.1491480220 ,-1.5952631920 
77,6.3100543810 ,-0.5975331060 ,1.7832400790 ,2.3885304460 ,1.4911028620 ,4.8750012270 ,0.1736129470 ,-0.9221863110 
78,6.3701417790 ,0.0315703490 ,1.4218170280 ,2.6845194580 ,2.0172139330 ,2.1650170760 ,0.4225354760 ,0.3869010820 
79,5.6231841180 ,0.1839192990 ,1.4164230600 ,2.4642236370 ,1.5041525080 ,0.6577607780 ,1.3586211170 ,-0.7260438710 
80,4.5069426140 ,0.1898676140 ,1.4667917190 ,2.2047901140 ,0.8837920670 ,-0.2109479700 ,1.0312910240 ,-2.2029403720 
81,2.2155590100 ,-0.0409795900 ,1.3525108840 ,2.4501136130 ,1.0975664650 ,1.2339736910 ,-8.3542167350 ,-2.4615901110 
82,1.4371020780 ,-0.2111626470 ,1.6021550210 ,2.4773214580 ,1.4328365030 ,1.9378725860 ,-6.9691947250 ,-2.1809183940 
83,2.4517434270 ,-0.3094474560 ,2.2831176430 ,2.2460218630 ,1.9121013740 ,1.7635222760 ,7.1808996040 ,-1.2610508780 
84,3.6389708000 ,-1.0647733410 ,2.0551049520 ,2.6061033790 ,2.9299065740 ,1.3440935280 ,1.3831154570 ,-0.6771685090 
85,4.5175125310 ,-1.7721072680 ,1.5423062210 ,3.0174600700 ,4.5173128680 ,0.7433667060 ,-8.3124938820 ,-0.3285404930 
86,2.2384913320 ,-0.4152901310 ,0.7830423730 ,2.4054373810 ,9.7917959050 ,-0.8470183170 ,-2.6414711600 ,-1.2192470710 
87,0.9253112170 ,0.3435841220 ,0.9655464120 ,2.1387930400 ,11.9137123000 ,-0.9729596210 ,-0.5741673680 ,-1.6757584120 
88,0.9256749750 ,0.2892560530 ,2.4288547780 ,2.3418632520 ,9.7481380510 ,0.8927425320 ,-3.4079213220 ,-1.5417642320 
89,0.7859044410 ,0.5908752060 ,1.4416504360 ,2.2223014700 ,6.6327768840 ,-1.4880665100 ,1.0008715930 ,-1.1529803380 
90,0.8035339010 ,0.9731097330 ,-0.1509360230 ,2.0114076560 ,3.4541235640 ,-4.8765448970 ,6.6905023480 ,-0.7190531270 
91,3.6422927600 ,0.7953030380 ,1.4192517250 ,2.0570358790 ,3.8573293310 ,-2.2149555430 ,-3.9577850640 ,-0.8587320830 
92,5.3220340180 ,0.6790562290 ,2.2153287050 ,2.0016226010 ,4.8644834440 ,-0.2109300360 ,-6.2507769950 ,-0.8651050580 
93,5.1876607690 ,0.6591640250 ,1.7997540490 ,1.7880574080 ,6.8169480120 ,0.7638651020 ,4.5340848740 ,-0.6628251960 
94,5.9579312940 ,0.6204805750 ,1.8820848870 ,1.7317261210 ,7.5790407590 ,5.1724664410 ,2.8870328700 ,-1.1454413970 
95,7.0864505440 ,0.5783729120 ,2.1462617790 ,1.7250528780 ,7.8136570100 ,10.8347301300 ,-3.5471974890 ,-1.8948503780 
96,7.9893463590 ,0.6554456250 ,1.8493556740 ,1.3198284850 ,6.7469823500 ,12.6149634500 ,-3.0050045240 ,-2.3470882880 
97,8.1388343950 ,0.7921957550 ,1.7786408650 ,0.8850722480 ,5.7834744550 ,12.4629461600 ,-0.4021434560 ,-2.6006512450 
98,6.9250131190 ,1.0369335910 ,2.1172245920 ,0.3968774370 ,5.0066492780 ,8.8144753870 ,5.9295456060 ,-2.4947071400 
99,6.4957601190 ,1.0609015080 ,2.4660169530 ,-1.7220776300 ,5.1772880270 ,6.3492225100 ,3.9764109610 ,-3.1265941850 
100,6.4391770500 ,0.9800037130 ,2.8196584160 ,-4.6156438190 ,5.7979721420 ,4.4459981340 ,-1.9120149460 ,-4.1089510270 
